id,time_hm,weekday,loc,sex,age,prf,cup,suc_reason,muc_reason,dest
1,10:00,DO,ETH,f,24,E,CUP,NA,B,A
2,10:00,DO,ETH,m,25,E,CUP,NA,B,A
3,10:02,DO,ETH,f,42,D,OWN,NA,E,C
4,10:03,DO,ETH,m,22,C,CUP,NA,B,A
5,10:12,DO,ETH,m,40,L,SUC,C,NA,A
6,10:12,DO,ETH,m,23,E,SUC,C,NA,C
7,10:13,DO,ETH,m,72,H,SUC,F,NA,A
8,10:14,DO,ETH,m,22,C,CUP,NA,B,A
9,10:15,DO,ETH,m,56,B,SUC,F,NA,A
10,10:16,DO,ETH,m,27,B,SUC,F,NA,A
11,10:20,DO,ETH,f,26,H,SUC,F,NA,A
12,10:25,DO,ETH,m,23,E,SUC,B,NA,A
13,10:25,DO,ETH,f,28,L,SUC,F,NA,A
14,10:27,DO,ETH,f,27,H,CUP,NA,B,A
15,10:29,DO,ETH,m,25,E,CUP,NA,B,A
16,10:30,DO,ETH,m,27,C,CUP,NA,B,A
17,10:37,DO,ETH,f,27,L,SUC,F,NA,A
18,10:38,DO,ETH,m,25,C,CUP,NA,B,A
19,10:38,DO,ETH,m,29,E,CUP,NA,B,A
20,10:43,DO,ETH,m,23,E,CUP,NA,B,A
21,10:49,DO,ETH,f,22,C,CUP,NA,B,A
22,10:52,DO,ETH,m,41,I,SUC,B,NA,B
23,10:53,DO,ETH,f,21,D,CUP,NA,B,A
24,10:55,DO,ETH,m,28,A,CUP,NA,B,A
25,10:56,DO,ETH,m,28,E,OWN,NA,D,A
26,10:58,DO,ETH,m,20,E,CUP,NA,B,A
27,11:00,DO,ETH,f,24,E,SUC,D,NA,C
